100, 212, 315, 1098, 763, 995, 52, 12,
109, 210, 313, 1100, 783, 983, 49, 15,
 98, 209, 310, 1089, 790, 990, 55, 18,
104, 200, 319, 1098, 792, 985, 60, 21,
107, 100, 321, 1105, 788, 971, 75, 18,
 98, 209, 310, 1089, 790, 990, 55, 18,
104, 200, 319, 1098, 792, 985, 60, 21,
107, 100, 321, 1105, 788, 971, 75, 18,
 98, 209, 310, 1089, 790, 990, 55, 18,
104, 200, 319, 1098, 792, 985, 60, 21,
107, 100, 321, 1105, 788, 971, 75, 18,
 98, 209, 310, 1089, 790, 990, 55, 18,
104, 200, 319, 1098, 792, 985, 60, 21,
107, 100, 321, 1105, 788, 971, 75, 18,
 98, 209, 310, 1089, 790, 990, 55, 18,
104, 200, 319, 1098, 792, 985, 60, 21,
107, 100, 321, 1105, 788, 971, 75, 18,
 98, 209, 310, 1089, 790, 990, 55, 18,
104, 200, 319, 1098, 792, 985, 60, 21,
107, 100, 321, 1105, 788, 971, 75, 18,
 50,  33, 259,  980, 687, 950, 40, 9,
100, 212, 315, 1098, 763, 995, 52, 12,
109, 210, 313, 1100, 783, 983, 49, 15,
 98, 209, 310, 1089, 790, 990, 55, 18,
104, 200, 319, 1098, 792, 985, 60, 21,
107, 100, 321, 1105, 788, 971, 75, 18,
 98, 209, 310, 1089, 790, 990, 55, 18,
104, 200, 319, 1098, 792, 985, 60, 21,
107, 100, 321, 1105, 788, 971, 75, 18,
 98, 209, 310, 1089, 790, 990, 55, 18,
104, 200, 319, 1098, 792, 985, 60, 21,
107, 100, 321, 1105, 788, 971, 75, 18,
 98, 209, 310, 1089, 790, 990, 55, 18,
104, 200, 319, 1098, 792, 985, 60, 21,
107, 100, 321, 1105, 788, 971, 75, 18,
 98, 209, 310, 1089, 790, 990, 55, 18,
104, 200, 319, 1098, 792, 985, 60, 21,
107, 100, 321, 1105, 788, 971, 75, 18,
 98, 209, 310, 1089, 790, 990, 55, 18,
104, 200, 319, 1098, 792, 985, 60, 21,
107, 100, 321, 1105, 788, 971, 75, 18,
 50,  33, 259,  980, 687, 950, 40, 9,
100, 212, 315, 1098, 763, 995, 52, 12,
109, 210, 313, 1100, 783, 983, 49, 15,
 98, 209, 310, 1089, 790, 990, 55, 18,
104, 200, 319, 1098, 792, 985, 60, 21,
107, 100, 321, 1105, 788, 971, 75, 18,
 98, 209, 310, 1089, 790, 990, 55, 18,
104, 200, 319, 1098, 792, 985, 60, 21,
107, 100, 321, 1105, 788, 971, 75, 18,
 98, 209, 310, 1089, 790, 990, 55, 18,
104, 200, 319, 1098, 792, 985, 60, 21,
107, 100, 321, 1105, 788, 971, 75, 18,
 98, 209, 310, 1089, 790, 990, 55, 18,
104, 200, 319, 1098, 792, 985, 60, 21,
107, 100, 321, 1105, 788, 971, 75, 18,
 98, 209, 310, 1089, 790, 990, 55, 18,
104, 200, 319, 1098, 792, 985, 60, 21,
107, 100, 321, 1105, 788, 971, 75, 18,
 98, 209, 310, 1089, 790, 990, 55, 18,
104, 200, 319, 1098, 792, 985, 60, 21,
107, 100, 321, 1105, 788, 971, 75, 18,
 50,  33, 259,  980, 687, 950, 40, 9,
100, 212, 315, 1098, 763, 995, 52, 12,
109, 210, 313, 1100, 783, 983, 49, 15,
 98, 209, 310, 1089, 790, 990, 55, 18,
104, 200, 319, 1098, 792, 985, 60, 21,
107, 100, 321, 1105, 788, 971, 75, 18,
 98, 209, 310, 1089, 790, 990, 55, 18,
104, 200, 319, 1098, 792, 985, 60, 21,
107, 100, 321, 1105, 788, 971, 75, 18,
 98, 209, 310, 1089, 790, 990, 55, 18,
104, 200, 319, 1098, 792, 985, 60, 21,
107, 100, 321, 1105, 788, 971, 75, 18,
 98, 209, 310, 1089, 790, 990, 55, 18,
104, 200, 319, 1098, 792, 985, 60, 21,
107, 100, 321, 1105, 788, 971, 75, 18,
 98, 209, 310, 1089, 790, 990, 55, 18,
104, 200, 319, 1098, 792, 985, 60, 21,
107, 100, 321, 1105, 788, 971, 75, 18,
